scope,group_type,group,model,convention,diagnostic_only,number_of_appearances,number_of_unique_focal_players,number_of_unique_matches,brier,log_loss,accuracy,mean_predicted_probability,empirical_win_rate,prediction_bias
appearance_level,cumulative,first_30,Glicko_low_direct_focal,direct_focal,True,2399,302,1987,0.21280856660261893,0.6201471288490025,0.6761150479366402,0.46403211138501443,0.4314297624010004,0.03260234898401404
appearance_level,cumulative,first_50,Validation_best_Elo,elo_reference,False,3502,381,2749,0.20843697736900138,0.598685965424186,0.6610508280982296,0.4534690911126157,0.4357509994288978,0.017718091683717907
appearance_level,cumulative,first_50,Glicko_low_current,current,False,3502,381,2749,0.2091003782868401,0.6055567258889816,0.67390062821245,0.4561932288433784,0.4357509994288978,0.020442229414480595
appearance_level,cumulative,first_50,Glicko_low_reversed,reversed,False,3502,381,2749,0.21154800058235954,0.6166880252320587,0.67390062821245,0.45594156445662626,0.4357509994288978,0.02019056502772848
appearance_level,cumulative,first_50,Glicko_low_midpoint,midpoint,False,3502,381,2749,0.21024730679521014,0.6102774319996391,0.67390062821245,0.45606739665000234,0.4357509994288978,0.020316397221104565
appearance_level,cumulative,first_50,Glicko_low_direct_focal,direct_focal,True,3502,381,2749,0.21072946031822956,0.612665505114848,0.67390062821245,0.4569004234756197,0.4357509994288978,0.021149424046721932
appearance_level,stage,1,Validation_best_Elo,elo_reference,False,76,76,74,0.21052176486868873,0.6032904936938518,0.6447368421052632,0.5385363224511316,0.40789473684210525,0.13064158560902633
appearance_level,stage,1,Glicko_low_current,current,False,76,76,74,0.32231552380393214,0.8955743860411198,0.5131578947368421,0.7434483364113538,0.40789473684210525,0.3355535995692485
appearance_level,stage,1,Glicko_low_reversed,reversed,False,76,76,74,0.36037466450061634,1.0536358352368145,0.5131578947368421,0.7869939795121185,0.40789473684210525,0.3790992426700132
appearance_level,stage,1,Glicko_low_midpoint,midpoint,False,76,76,74,0.3404367523541816,0.9626762401603016,0.5131578947368421,0.7652211579617361,0.40789473684210525,0.3573264211196308
appearance_level,stage,1,Glicko_low_direct_focal,direct_focal,True,76,76,74,0.3598584161448394,1.0521807135380543,0.5131578947368421,0.7880934036688146,0.40789473684210525,0.3801986668267094
