group_type,group,group_order,threshold,appearance_number,appearance_stage,comparison,comparison_label,left_model,right_model,metric,metric_definition,appearances,players,matches,positive_delta_means,point_estimate,ci_lower,ci_upper,bootstrap_type,bootstrap_replications,cluster_variable,clusters,small_sample_warning
cumulative_threshold,first_30,30,30,,,Validation_best_Elo_minus_best_AdaptiveK,Validation-best Elo - Adaptive-K Elo,Validation_best_Elo,best_AdaptiveK,delta_brier,left_model_brier - right_model_brier,2399,302,1987,Adaptive-K Elo better,-0.00539667923338,-0.00725026097822,-0.00342015617511,player_cluster,2000,player_id,302,False
cumulative_threshold,first_30,30,30,,,Validation_best_Elo_minus_best_AdaptiveK,Validation-best Elo - Adaptive-K Elo,Validation_best_Elo,best_AdaptiveK,delta_log_loss,left_model_log_loss - right_model_log_loss,2399,302,1987,Adaptive-K Elo better,-0.0136389896972,-0.0183396358289,-0.00894352126515,player_cluster,2000,player_id,302,False
cumulative_threshold,first_30,30,30,,,Validation_best_Elo_minus_best_AdaptiveK,Validation-best Elo - Adaptive-K Elo,Validation_best_Elo,best_AdaptiveK,delta_accuracy,right_model_accuracy - left_model_accuracy,2399,302,1987,Adaptive-K Elo better,-0.0045852438516,-0.0137180945254,0.00435678180452,player_cluster,2000,player_id,302,False
cumulative_threshold,first_30,30,30,,,Glicko_C0_fixed_minus_Glicko_low_fixed,Glicko C0 - Glicko low inflation,Glicko_C0_fixed,Glicko_low_fixed,delta_brier,left_model_brier - right_model_brier,2399,302,1987,Glicko low inflation better,0.00473178283835,0.00157199077978,0.0078464935431,player_cluster,2000,player_id,302,False
cumulative_threshold,first_30,30,30,,,Glicko_C0_fixed_minus_Glicko_low_fixed,Glicko C0 - Glicko low inflation,Glicko_C0_fixed,Glicko_low_fixed,delta_log_loss,left_model_log_loss - right_model_log_loss,2399,302,1987,Glicko low inflation better,0.0123925370895,0.00443234187506,0.0198765416097,player_cluster,2000,player_id,302,False
cumulative_threshold,first_30,30,30,,,Glicko_C0_fixed_minus_Glicko_low_fixed,Glicko C0 - Glicko low inflation,Glicko_C0_fixed,Glicko_low_fixed,delta_accuracy,right_model_accuracy - left_model_accuracy,2399,302,1987,Glicko low inflation better,0.00875364735306,-0.00204758603036,0.0200250446206,player_cluster,2000,player_id,302,False
cumulative_threshold,first_50,50,50,,,Validation_best_Elo_minus_Glicko_low_fixed,Validation-best Elo - Glicko low inflation,Validation_best_Elo,Glicko_low_fixed,delta_brier,left_model_brier - right_model_brier,3502,381,2749,Glicko low inflation better,-0.000663400917964,-0.00518089846656,0.00352520848929,player_cluster,2000,player_id,381,False
cumulative_threshold,first_50,50,50,,,Validation_best_Elo_minus_Glicko_low_fixed,Validation-best Elo - Glicko low inflation,Validation_best_Elo,Glicko_low_fixed,delta_log_loss,left_model_log_loss - right_model_log_loss,3502,381,2749,Glicko low inflation better,-0.00687076046508,-0.0177418375729,0.00424247265827,player_cluster,2000,player_id,381,False
cumulative_threshold,first_50,50,50,,,Validation_best_Elo_minus_Glicko_low_fixed,Validation-best Elo - Glicko low inflation,Validation_best_Elo,Glicko_low_fixed,delta_accuracy,right_model_accuracy - left_model_accuracy,3502,381,2749,Glicko low inflation better,0.0128498001142,0.000283044486474,0.0260997662804,player_cluster,2000,player_id,381,False
cumulative_threshold,first_50,50,50,,,Validation_best_Elo_minus_best_AdaptiveK,Validation-best Elo - Adaptive-K Elo,Validation_best_Elo,best_AdaptiveK,delta_brier,left_model_brier - right_model_brier,3502,381,2749,Adaptive-K Elo better,-0.00366768452599,-0.00532236819597,-0.00218363062548,player_cluster,2000,player_id,381,False
cumulative_threshold,first_50,50,50,,,Validation_best_Elo_minus_best_AdaptiveK,Validation-best Elo - Adaptive-K Elo,Validation_best_Elo,best_AdaptiveK,delta_log_loss,left_model_log_loss - right_model_log_loss,3502,381,2749,Adaptive-K Elo better,-0.00945714492109,-0.0132718745027,-0.00551058270068,player_cluster,2000,player_id,381,False
cumulative_threshold,first_50,50,50,,,Validation_best_Elo_minus_best_AdaptiveK,Validation-best Elo - Adaptive-K Elo,Validation_best_Elo,best_AdaptiveK,delta_accuracy,right_model_accuracy - left_model_accuracy,3502,381,2749,Adaptive-K Elo better,-0.00285551113649,-0.0106688503161,0.00488036609894,player_cluster,2000,player_id,381,False
cumulative_threshold,first_50,50,50,,,Glicko_C0_fixed_minus_Glicko_low_fixed,Glicko C0 - Glicko low inflation,Glicko_C0_fixed,Glicko_low_fixed,delta_brier,left_model_brier - right_model_brier,3502,381,2749,Glicko low inflation better,0.00501094634348,0.00225369356533,0.00784920793468,player_cluster,2000,player_id,381,False
cumulative_threshold,first_50,50,50,,,Glicko_C0_fixed_minus_Glicko_low_fixed,Glicko C0 - Glicko low inflation,Glicko_C0_fixed,Glicko_low_fixed,delta_log_loss,left_model_log_loss - right_model_log_loss,3502,381,2749,Glicko low inflation better,0.0130544210278,0.00621944436865,0.0195810000664,player_cluster,2000,player_id,381,False
cumulative_threshold,first_50,50,50,,,Glicko_C0_fixed_minus_Glicko_low_fixed,Glicko C0 - Glicko low inflation,Glicko_C0_fixed,Glicko_low_fixed,delta_accuracy,right_model_accuracy - left_model_accuracy,3502,381,2749,Glicko low inflation better,0.00799543118218,-0.00177081692204,0.0176690301585,player_cluster,2000,player_id,381,False
appearance_stage,1,1,,,1,Validation_best_Elo_minus_Glicko_low_fixed,Validation-best Elo - Glicko low inflation,Validation_best_Elo,Glicko_low_fixed,delta_brier,left_model_brier - right_model_brier,76,76,74,Glicko low inflation better,-0.111793758935,-0.154800873069,-0.0678461833509,player_cluster,2000,player_id,76,False
appearance_stage,1,1,,,1,Validation_best_Elo_minus_Glicko_low_fixed,Validation-best Elo - Glicko low inflation,Validation_best_Elo,Glicko_low_fixed,delta_log_loss,left_model_log_loss - right_model_log_loss,76,76,74,Glicko low inflation better,-0.292283892348,-0.419665957696,-0.172376985823,player_cluster,2000,player_id,76,False
appearance_stage,1,1,,,1,Validation_best_Elo_minus_Glicko_low_fixed,Validation-best Elo - Glicko low inflation,Validation_best_Elo,Glicko_low_fixed,delta_accuracy,right_model_accuracy - left_model_accuracy,76,76,74,Glicko low inflation better,-0.131578947368,-0.223684210526,-0.0526315789474,player_cluster,2000,player_id,76,False
appearance_stage,1,1,,,1,Validation_best_Elo_minus_best_AdaptiveK,Validation-best Elo - Adaptive-K Elo,Validation_best_Elo,best_AdaptiveK,delta_brier,left_model_brier - right_model_brier,76,76,74,Adaptive-K Elo better,-0.014810700537,-0.0231898352097,-0.00694072896975,player_cluster,2000,player_id,76,False
appearance_stage,1,1,,,1,Validation_best_Elo_minus_best_AdaptiveK,Validation-best Elo - Adaptive-K Elo,Validation_best_Elo,best_AdaptiveK,delta_log_loss,left_model_log_loss - right_model_log_loss,76,76,74,Adaptive-K Elo better,-0.0338940552233,-0.0521060012927,-0.0168307392983,player_cluster,2000,player_id,76,False
appearance_stage,1,1,,,1,Validation_best_Elo_minus_best_AdaptiveK,Validation-best Elo - Adaptive-K Elo,Validation_best_Elo,best_AdaptiveK,delta_accuracy,right_model_accuracy - left_model_accuracy,76,76,74,Adaptive-K Elo better,-0.0394736842105,-0.0921052631579,0,player_cluster,2000,player_id,76,False
appearance_stage,1,1,,,1,Glicko_C0_fixed_minus_Glicko_low_fixed,Glicko C0 - Glicko low inflation,Glicko_C0_fixed,Glicko_low_fixed,delta_brier,left_model_brier - right_model_brier,76,76,74,Glicko low inflation better,0.0262693142669,0.00944851072293,0.0428610641093,player_cluster,2000,player_id,76,False
appearance_stage,1,1,,,1,Glicko_C0_fixed_minus_Glicko_low_fixed,Glicko C0 - Glicko low inflation,Glicko_C0_fixed,Glicko_low_fixed,delta_log_loss,left_model_log_loss - right_model_log_loss,76,76,74,Glicko low inflation better,0.066970417898,0.0236258061259,0.109278303386,player_cluster,2000,player_id,76,False
appearance_stage,1,1,,,1,Glicko_C0_fixed_minus_Glicko_low_fixed,Glicko C0 - Glicko low inflation,Glicko_C0_fixed,Glicko_low_fixed,delta_accuracy,right_model_accuracy - left_model_accuracy,76,76,74,Glicko low inflation better,0.0526315789474,0.0131578947368,0.105263157895,player_cluster,2000,player_id,76,False
appearance_stage,2-5,2,,,2-5,Validation_best_Elo_minus_Glicko_low_fixed,Validation-best Elo - Glicko low inflation,Validation_best_Elo,Glicko_low_fixed,delta_brier,left_model_brier - right_model_brier,330,106,316,Glicko low inflation better,0.00113916541331,-0.0188025615143,0.0208047241181,player_cluster,2000,player_id,106,False
appearance_stage,2-5,2,,,2-5,Validation_best_Elo_minus_Glicko_low_fixed,Validation-best Elo - Glicko low inflation,Validation_best_Elo,Glicko_low_fixed,delta_log_loss,left_model_log_loss - right_model_log_loss,330,106,316,Glicko low inflation better,-0.0095743014985,-0.064494241756,0.0432234632492,player_cluster,2000,player_id,106,False
appearance_stage,2-5,2,,,2-5,Validation_best_Elo_minus_Glicko_low_fixed,Validation-best Elo - Glicko low inflation,Validation_best_Elo,Glicko_low_fixed,delta_accuracy,right_model_accuracy - left_model_accuracy,330,106,316,Glicko low inflation better,0.0454545454545,-0.00639132227146,0.0950922455402,player_cluster,2000,player_id,106,False
appearance_stage,2-5,2,,,2-5,Validation_best_Elo_minus_best_AdaptiveK,Validation-best Elo - Adaptive-K Elo,Validation_best_Elo,best_AdaptiveK,delta_brier,left_model_brier - right_model_brier,330,106,316,Adaptive-K Elo better,-0.00499951625154,-0.00941724643467,-4.38743198183e-05,player_cluster,2000,player_id,106,False
appearance_stage,2-5,2,,,2-5,Validation_best_Elo_minus_best_AdaptiveK,Validation-best Elo - Adaptive-K Elo,Validation_best_Elo,best_AdaptiveK,delta_log_loss,left_model_log_loss - right_model_log_loss,330,106,316,Adaptive-K Elo better,-0.00777825487009,-0.0215547038189,0.00823483649737,player_cluster,2000,player_id,106,False
appearance_stage,2-5,2,,,2-5,Validation_best_Elo_minus_best_AdaptiveK,Validation-best Elo - Adaptive-K Elo,Validation_best_Elo,best_AdaptiveK,delta_accuracy,right_model_accuracy - left_model_accuracy,330,106,316,Adaptive-K Elo better,0,-0.0271125410734,0.0282153841604,player_cluster,2000,player_id,106,False
appearance_stage,2-5,2,,,2-5,Glicko_C0_fixed_minus_Glicko_low_fixed,Glicko C0 - Glicko low inflation,Glicko_C0_fixed,Glicko_low_fixed,delta_brier,left_model_brier - right_model_brier,330,106,316,Glicko low inflation better,-0.0014947127194,-0.00886979068038,0.00636019769111,player_cluster,2000,player_id,106,False
appearance_stage,2-5,2,,,2-5,Glicko_C0_fixed_minus_Glicko_low_fixed,Glicko C0 - Glicko low inflation,Glicko_C0_fixed,Glicko_low_fixed,delta_log_loss,left_model_log_loss - right_model_log_loss,330,106,316,Glicko low inflation better,-0.00237501903954,-0.0212546766379,0.0157884481023,player_cluster,2000,player_id,106,False
appearance_stage,2-5,2,,,2-5,Glicko_C0_fixed_minus_Glicko_low_fixed,Glicko C0 - Glicko low inflation,Glicko_C0_fixed,Glicko_low_fixed,delta_accuracy,right_model_accuracy - left_model_accuracy,330,106,316,Glicko low inflation better,0.0151515151515,-0.0127816073061,0.0446461886994,player_cluster,2000,player_id,106,False
