sample,model,model_display,bin_label,bin_lower,bin_upper,games,mean_player_a_probability,empirical_player_a_win_rate,calibration_gap
Minimum total games <=5,Validation_best_Elo,Validation-best Elo,0.1-0.2,0.1,0.2,11,0.163926790304,0.636363636364,0.47243684606
Minimum total games <=5,Validation_best_Elo,Validation-best Elo,0.2-0.3,0.2,0.3,60,0.259269468016,0.333333333333,0.074063865317
Minimum total games <=5,Validation_best_Elo,Validation-best Elo,0.3-0.4,0.3,0.4,111,0.353994914706,0.486486486486,0.13249157178
Minimum total games <=5,Validation_best_Elo,Validation-best Elo,0.4-0.5,0.4,0.5,104,0.447885336091,0.480769230769,0.0328838946782
Minimum total games <=5,Validation_best_Elo,Validation-best Elo,0.5-0.6,0.5,0.6,75,0.543152454621,0.613333333333,0.0701808787127
Minimum total games <=5,Validation_best_Elo,Validation-best Elo,0.6-0.7,0.6,0.7,38,0.640009017804,0.710526315789,0.0705172979851
Minimum total games <=5,Validation_best_Elo,Validation-best Elo,0.7-0.8,0.7,0.8,21,0.743915593464,0.857142857143,0.113227263679
Minimum total games <=5,Validation_best_Elo,Validation-best Elo,0.8-0.9,0.8,0.9,26,0.847739487082,0.923076923077,0.0753374359947
Minimum total games <=5,Validation_best_Elo,Validation-best Elo,0.9-1.0,0.9,1,18,0.962266152797,0.833333333333,-0.128932819464
Minimum total games <=5,best_AdaptiveK,Best adaptive-K Elo,0.0-0.1,0,0.1,1,0.0965524804319,1,0.903447519568
Minimum total games <=5,best_AdaptiveK,Best adaptive-K Elo,0.1-0.2,0.1,0.2,17,0.173433768218,0.352941176471,0.179507408252
Minimum total games <=5,best_AdaptiveK,Best adaptive-K Elo,0.2-0.3,0.2,0.3,69,0.262409489485,0.391304347826,0.128894858341
Minimum total games <=5,best_AdaptiveK,Best adaptive-K Elo,0.3-0.4,0.3,0.4,116,0.353750052323,0.534482758621,0.180732706298
Minimum total games <=5,best_AdaptiveK,Best adaptive-K Elo,0.4-0.5,0.4,0.5,107,0.446519533832,0.448598130841,0.00207859700868
Minimum total games <=5,best_AdaptiveK,Best adaptive-K Elo,0.5-0.6,0.5,0.6,71,0.536582932743,0.633802816901,0.0972198841585
Minimum total games <=5,best_AdaptiveK,Best adaptive-K Elo,0.6-0.7,0.6,0.7,36,0.635695522088,0.805555555556,0.169860033468
Minimum total games <=5,best_AdaptiveK,Best adaptive-K Elo,0.7-0.8,0.7,0.8,24,0.735383775781,0.958333333333,0.222949557552
Minimum total games <=5,best_AdaptiveK,Best adaptive-K Elo,0.8-0.9,0.8,0.9,11,0.847269664909,0.909090909091,0.061821244182
Minimum total games <=5,best_AdaptiveK,Best adaptive-K Elo,0.9-1.0,0.9,1,13,0.947468800437,0.769230769231,-0.178238031207
Minimum total games <=5,Glicko_C0_fixed,Glicko C0,0.0-0.1,0,0.1,37,0.0666863610388,0.297297297297,0.230610936259
Minimum total games <=5,Glicko_C0_fixed,Glicko C0,0.1-0.2,0.1,0.2,85,0.147559672351,0.411764705882,0.264205033532
Minimum total games <=5,Glicko_C0_fixed,Glicko C0,0.2-0.3,0.2,0.3,58,0.244208129624,0.5,0.255791870376
Minimum total games <=5,Glicko_C0_fixed,Glicko C0,0.3-0.4,0.3,0.4,52,0.351103060459,0.480769230769,0.12966617031
Minimum total games <=5,Glicko_C0_fixed,Glicko C0,0.4-0.5,0.4,0.5,45,0.452658321976,0.555555555556,0.10289723358
