year,matches,n_active_players,n_established_active_players,n_known_players_end_year,n_new_recorded_players,mean_rating_active,median_rating_active,p10_rating_active,p90_rating_active,mean_rating_established_active,median_rating_established_active,p10_rating_established_active,p90_rating_established_active,mean_rating_all_known,median_rating_all_known,initial_rating,initial_minus_established_active_median,net_glicko_rating_update_change,cumulative_net_glicko_rating_update_change,rating_sum_end_year,rating_sum_reconciliation_error
1995,8113,831,674,1590,157,1434.9710680107507,1422.2501642581808,1129.9952313607719,1769.7807193169488,1458.972494642937,1452.028808028774,1136.124774722448,1788.0806328579517,1385.8467936330264,1366.7038906734374,1500.0,47.97119197122606,-26445.190677335893,-181503.59812348842,2203496.401876512,4.6566128730773926e-09
1996,7981,842,716,1716,126,1427.027833647124,1407.4915107894951,1103.1575464221285,1772.2379360580082,1446.1279066044935,1424.3997490178126,1128.820554653445,1796.5604845118505,1380.432496245029,1356.2510991075342,1500.0,75.60025098218739,-23674.23832004168,-205177.8364435301,2368822.1635564696,5.587935447692871e-09
1997,9634,933,792,1857,141,1420.5616826630728,1403.1888949337877,1120.8317646424155,1760.2692612803114,1440.0547055494553,1431.2777290991694,1125.930093387709,1781.52865522513,1373.8779084225687,1351.0550499928836,1500.0,68.72227090083061,-29030.887615759737,-234208.72405928985,2551291.27594071,2.3283064365386963e-09
1998,9784,937,817,1977,120,1419.4277617467144,1395.39118784093,1103.5306161499498,1765.3585406637076,1439.1820397997792,1417.515712424584,1121.3248166682276,1778.5182079445,1367.5325723435033,1342.9234335684184,1500.0,82.48428757541592,-27679.380417604978,-261888.10447689483,2703611.8955231057,2.7939677238464355e-09
1999,11326,1035,901,2111,134,1408.866231208685,1388.7835442640246,1091.2865250712887,1763.3050219024146,1423.62157042862,1407.4826122351083,1106.8431110389886,1778.122444375993,1362.6803516713255,1341.8868033222523,1500.0,92.51738776489174,-27993.673144936984,-289881.7776218318,2876618.2223781683,2.7939677238464355e-09
2000,11240,1004,901,2214,103,1409.7647182629232,1392.6680743200777,1095.3870405172813,1754.579305797878,1420.9640117894603,1407.872733654336,1103.0077351304035,1784.613341760937,1358.308971248512,1331.4122975086957,1500.0,92.12726634566411,-23822.160033963206,-313703.937655795,3007296.0623442056,5.587935447692871e-09
2001,13168,1112,952,2374,160,1392.8528232676351,1374.3303443238156,1059.2605200119128,1767.3045227636171,1415.7631892693096,1393.90800250848,1083.156996091622,1787.6986673794904,1350.452233442272,1327.008671573871,1500.0,106.09199749152003,-41322.460152250984,-355026.397808046,3205973.602191954,4.656612873077393e-10
2002,14745,1167,988,2553,179,1384.9761688086535,1367.9421356679898,1057.8925235752636,1752.1846480721547,1407.714487759751,1397.4128434921126,1073.447311527691,1772.8891089321687,1344.108988075076,1321.8874168595464,1500.0,102.58715650788736,-42963.35563628459,-397989.7534443306,3431510.2465556692,-5.122274160385132e-09
2003,13793,1159,1006,2706,153,1384.9129850574097,1366.1119463730488,1063.7085550081204,1737.5768058403883,1400.1705510814238,1381.1175954532582,1074.716701578443,1757.76901334994,1339.2738766457062,1313.0708055897528,1500.0,118.88240454674178,-36935.136352388225,-434924.88979671884,3624075.110203281,-5.122274160385132e-09
2004,15304,1268,1095,2879,173,1378.3598828267718,1357.5984251792324,1037.7167398039041,1742.8416184432467,1400.030914650227,1382.0583334294638,1060.7227144615672,1763.586425043822,1334.1811753994527,1309.7473397492456,1500.0,117.9416665705362,-42467.50622825689,-477392.39602497575,3841107.6039750245,-4.6566128730773926e-09
2005,16777,1268,1124,3023,144,1376.245022717811,1357.2571402579183,1054.3700417351135,1748.3807553026304,1394.9001159888016,1375.7219550772074,1069.5882803938548,1763.9722152190373,1327.9925798033114,1306.3400857372142,1500.0,124.27804492279256,-42586.03522961446,-519978.4312545902,4014521.56874541,-9.313225746154785e-09
