year,entry_cohort,n_first_appearances,n_unique_players,n_unique_matches,n_both_debut_matches,mean_predicted_win_probability,empirical_win_rate,prediction_bias_mean_p_minus_win_rate,brier,log_loss,mean_focal_rating,mean_opponent_rating,median_opponent_rating,mean_focal_minus_opponent_rating,median_focal_minus_opponent_rating,mean_focal_rd,mean_opponent_rd,mean_opponent_prior_games
1995,post_burn_in_recorded_entry,157,157,148,9,0.528368852733934,0.3248407643312102,0.2035280884027238,0.2349668826804971,0.6687671496492653,1500.0,1467.6356287250715,1500.0,32.36437127492872,0.0,350.0,151.37554890632424,73.35031847133757
1996,post_burn_in_recorded_entry,126,126,115,11,0.5278455595973475,0.29365079365079366,0.2341947659465538,0.27178817292884466,0.7471894976492203,1500.0,1480.0857332730475,1487.463821305736,19.914266726952576,12.536178694263981,350.0,160.08333550894116,111.0
1997,post_burn_in_recorded_entry,141,141,135,6,0.5241521623806935,0.24822695035460993,0.27592521202608356,0.24905176994373687,0.6982067429055264,1500.0,1475.1980080988467,1471.0590481883833,24.801991901153386,28.940951811616742,350.0,142.6192436911287,93.68085106382979
1998,post_burn_in_recorded_entry,120,120,116,4,0.5322181258255347,0.31666666666666665,0.2155514591588681,0.2274697673791733,0.6549092052217912,1500.0,1465.5986569060049,1427.8165464225003,34.401343093995,72.18345357749968,350.0,125.85843400146595,138.66666666666666
1999,post_burn_in_recorded_entry,134,134,128,6,0.539985103492938,0.2835820895522388,0.25640301394069925,0.238714955838544,0.6792584585662408,1500.0,1454.6132333187772,1488.12873694161,45.38676668122266,11.871263058390127,350.0,135.48870771394732,129.21641791044777
2000,post_burn_in_recorded_entry,103,103,97,6,0.5831396582834376,0.3592233009708738,0.22391635731256382,0.23909477275422367,0.6795094110638975,1500.0,1397.8332584716068,1388.7890535712281,102.16674152839302,111.21094642877188,350.0,145.8017149684522,123.9126213592233
2001,post_burn_in_recorded_entry,160,160,152,8,0.5595942897252579,0.275,0.2845942897252579,0.26544249763156014,0.7415994691124933,1500.0,1425.5555648307115,1457.5340203327305,74.44443516928857,42.46597966726938,350.0,137.84681591363602,124.63125
2002,post_burn_in_recorded_entry,179,179,171,8,0.5829960454801525,0.35195530726256985,0.23104073821758264,0.2578627186256182,0.7227384598772794,1500.0,1396.3697092974357,1385.6110723164115,103.63029070256432,114.38892768358846,350.0,132.99583655276638,131.2849162011173
2003,post_burn_in_recorded_entry,153,153,144,9,0.5803314028104964,0.3137254901960784,0.266605912614418,0.2758717481451437,0.7700844480139162,1500.0,1397.5283761430342,1442.2178824535652,102.47162385696568,57.78211754643485,350.0,136.04663889764873,130.640522875817
2004,post_burn_in_recorded_entry,173,173,159,14,0.5930799450960245,0.3468208092485549,0.24625913584746956,0.2626347996169285,0.73500061044266,1500.0,1382.5019629593378,1414.5753454714056,117.49803704066235,85.42465452859437,350.0,154.43476591163696,125.75722543352602
2005,post_burn_in_recorded_entry,144,144,136,8,0.6302105511164977,0.4097222222222222,0.2204883288942755,0.2700389538887136,0.7576741234064812,1500.0,1338.174755435017,1340.2055202082206,161.82524456498297,159.7944797917795,350.0,138.46851518438342,120.875
2006,post_burn_in_recorded_entry,110,110,107,3,0.6482588027503322,0.21818181818181817,0.43007698456851406,0.3525824714265056,0.9609321547126282,1500.0,1312.1501134816065,1226.3403179326872,187.84988651839328,273.6596820673128,350.0,122.41000742199928,148.79090909090908
2007,post_burn_in_recorded_entry,121,121,112,9,0.597479678095784,0.256198347107438,0.34128133098834595,0.3237393001785543,0.8739378184449255,1500.0,1383.8214610076636,1396.5747894939157,116.17853899233633,103.42521050608434,350.0,144.8336448248724,159.13223140495867
2008,post_burn_in_recorded_entry,98,98,95,3,0.5476520077024816,0.20408163265306123,0.34357037504942034,0.2961095609205095,0.8263788754632931,1500.0,1437.4966634109585,1429.6955151454872,62.503336589041645,70.3044848545129,350.0,112.59928605082928,255.21428571428572
2009,post_burn_in_recorded_entry,140,140,128,12,0.5835629445963184,0.2857142857142857,0.2978486588820327,0.3103720256475793,0.8526515347622645,1500.0,1394.376416563049,1385.8959902502384,105.62358343695102,114.10400974976176,350.0,146.2668301036833,248.65714285714284
2010,post_burn_in_recorded_entry,103,103,99,4,0.595398365846425,0.34951456310679613,0.2458838027396289,0.26024191609312214,0.7237826457181655,1500.0,1384.6565929560888,1334.065999351077,115.34340704391094,165.93400064892307,350.0,124.8227019693909,288.79611650485435
