model,model_display,orientation,orientation_display,subgroup,games,events,brier,logloss,accuracy,player_a_calibration_error,elo_brier,elo_logloss,elo_accuracy,delta_brier_vs_elo,delta_logloss_vs_elo,delta_accuracy_vs_elo,brier_change_vs_existing_saved_orientation,logloss_change_vs_existing_saved_orientation,delta_brier_vs_elo_ci_lower,delta_brier_vs_elo_ci_upper,delta_logloss_vs_elo_ci_lower,delta_logloss_vs_elo_ci_upper,bootstrap_replications
Glicko_low,Glicko low inflation,fixed_player_a_direct,Fixed player-A direct,"Returning >=365 days, no debut",198,148,0.188799446248,0.562288708844,0.727272727273,0.0876910194382,0.190057721682,0.55163079342,0.69696969697,0.00125827543345,-0.0106579154238,0.030303030303,-3.59642482227e-05,0.00157326603761,-0.0138527250753,0.0151361990372,-0.0555910639344,0.029164885506,2000
Glicko_low,Glicko low inflation,symmetric_diagnostic,Symmetric diagnostic,"Returning >=365 days, no debut",198,148,0.188094085753,0.55831584726,0.727272727273,0.0848550813444,0.190057721682,0.55163079342,0.69696969697,0.00196363592879,-0.0066850538396,0.030303030303,-0.000741324743561,-0.00239959554662,-0.0123756397496,0.0168373149501,-0.0513895923871,0.0348630782579,2000
Glicko_low,Glicko low inflation,existing_saved_orientation,Existing saved-winner orientation,Both active and no debut,11036,626,0.186642932994,0.549399610245,0.712939470823,0.0107869711448,0.189768721077,0.555903925022,0.705509242479,0.00312578808283,0.00650431477703,0.0074302283436,0,0,0.00178543026853,0.00444961642172,0.00319999805954,0.00975186310034,2000
Glicko_low,Glicko low inflation,fixed_player_a_direct,Fixed player-A direct,Both active and no debut,11036,626,0.186479537232,0.548801276167,0.712939470823,0.01017998985,0.189768721077,0.555903925022,0.705509242479,0.00328918384435,0.00710264885457,0.0074302283436,-0.000163395761525,-0.000598334077548,0.00190126249011,0.00466763659979,0.00361721578231,0.0104705932791,2000
Glicko_low,Glicko low inflation,symmetric_diagnostic,Symmetric diagnostic,Both active and no debut,11036,626,0.18649893428,0.54885487707,0.712939470823,0.0110085450925,0.189768721077,0.555903925022,0.705509242479,0.00326978679725,0.0070490479522,0.0074302283436,-0.00014399871442,-0.000544733175173,0.0019415031607,0.00469639836414,0.00370713579902,0.0105749019889,2000
Glicko_low,Glicko low inflation,existing_saved_orientation,Existing saved-winner orientation,No-debut high RD quartile,2827,426,0.184477668483,0.542602712726,0.718429430492,0.0347203951241,0.187726641434,0.547254289472,0.70074283693,0.00324897295082,0.00465157674549,0.0176865935621,0,0,-0.00167759474488,0.00826807705453,-0.00733545290832,0.0169437109185,2000
Glicko_low,Glicko low inflation,fixed_player_a_direct,Fixed player-A direct,No-debut high RD quartile,2827,426,0.184115273423,0.541227266917,0.718429430492,0.0324691325111,0.187726641434,0.547254289472,0.70074283693,0.00361136801074,0.00602702255438,0.0176865935621,-0.000362395059914,-0.00137544580889,-0.00130453561908,0.0085762035168,-0.00631430313058,0.0181527239298,2000
Glicko_low,Glicko low inflation,symmetric_diagnostic,Symmetric diagnostic,No-debut high RD quartile,2827,426,0.184113021168,0.541226139346,0.718429430492,0.0347020804033,0.187726641434,0.547254289472,0.70074283693,0.00361362026557,0.00602815012616,0.0176865935621,-0.000364647314744,-0.00137657338067,-0.00127965784284,0.00851503936238,-0.00651804755233,0.0181428778807,2000
Glicko_C0,Glicko C0,existing_saved_orientation,Existing saved-winner orientation,Overall,11379,629,0.195742613602,0.571955559188,0.693734071535,0.0286722983647,0.19007264006,0.556534255949,0.704455576061,-0.00566997354241,-0.0154213032399,-0.0107215045259,0,0,-0.00818246283348,-0.00330720425442,-0.0214210906164,-0.00971667911092,2000
Glicko_C0,Glicko C0,fixed_player_a_direct,Fixed player-A direct,Overall,11379,629,0.195707693341,0.571957573912,0.693734071535,0.0295141579744,0.19007264006,0.556534255949,0.704455576061,-0.00563505328048,-0.015423317963,-0.0107215045259,-3.49202619308e-05,2.01472306427e-06,-0.008013963092,-0.00333281925513,-0.021209320758,-0.00975173978027,2000
Glicko_C0,Glicko C0,symmetric_diagnostic,Symmetric diagnostic,Overall,11379,629,0.195788787196,0.572191457592,0.693734071535,0.030309215143,0.19007264006,0.556534255949,0.704455576061,-0.00571614713575,-0.0156572016433,-0.0107215045259,4.61735933387e-05,0.000235898403372,-0.00821181345605,-0.00312184000663,-0.0216572042716,-0.00946736925073,2000
Glicko_C0,Glicko C0,existing_saved_orientation,Existing saved-winner orientation,No debut,11305,629,0.194764277348,0.569531441645,0.695267580716,0.0292939306454,0.189945768873,0.556244096884,0.704820875719,-0.00481850847442,-0.0132873447601,-0.00955329500221,0,0,-0.00731861309122,-0.00245292311964,-0.0192829994771,-0.00759588926621,2000
Glicko_C0,Glicko C0,fixed_player_a_direct,Fixed player-A direct,No debut,11305,629,0.194689552838,0.569353217408,0.695267580716,0.0303824935689,0.189945768873,0.556244096884,0.704820875719,-0.0047437839642,-0.0131091205239,-0.00955329500221,-7.47245102231e-05,-0.000178224236263,-0.00713417819736,-0.00218645034701,-0.0187793565503,-0.00725477223992,2000
Glicko_C0,Glicko C0,symmetric_diagnostic,Symmetric diagnostic,No debut,11305,629,0.194710472457,0.569396305135,0.695267580716,0.0308889395978,0.189945768873,0.556244096884,0.704820875719,-0.00476470358388,-0.0131522082509,-0.00955329500221,-5.38048905374e-05,-0.000135136509253,-0.00728314123749,-0.00227886778123,-0.0191879733667,-0.007029836336,2000
Glicko_C0,Glicko C0,existing_saved_orientation,Existing saved-winner orientation,Exactly one debut,72,58,0.34784784397,0.949209247951,0.458333333333,0.415477671257,0.208328529584,0.598298455535,0.652777777778,-0.139519314386,-0.350910792416,-0.194444444444,0,0,-0.193980476269,-0.0826992418262,-0.500301435376,-0.19732736699,2000
Glicko_C0,Glicko C0,fixed_player_a_direct,Fixed player-A direct,Exactly one debut,72,58,0.354061773519,0.977511338572,0.458333333333,0.390890641101,0.208328529584,0.598298455535,0.652777777778,-0.145733243936,-0.379212883037,-0.194444444444,0.00621392954946,0.0283020906209,-0.201009030192,-0.090289673413,-0.527217243792,-0.236909300406,2000
Glicko_C0,Glicko C0,symmetric_diagnostic,Symmetric diagnostic,Exactly one debut,72,58,0.363593310722,1.00770933363,0.458333333333,0.40225064027,0.208328529584,0.598298455535,0.652777777778,-0.155264781138,-0.409410878098,-0.194444444444,0.0157454667517,0.0585000856816,-0.210537677821,-0.0969620208426,-0.563912439088,-0.255234877394,2000
Glicko_C0,Glicko C0,existing_saved_orientation,Existing saved-winner orientation,"Returning >=365 days, no debut",198,148,0.217450160511,0.626042832438,0.651515151515,0.104176907319,0.190057721682,0.55163079342,0.69696969697,-0.0273924388297,-0.0744120390183,-0.0454545454545,0,0,-0.0476794291398,-0.00738431451146,-0.131677050314,-0.0221651095962,2000
Glicko_C0,Glicko C0,fixed_player_a_direct,Fixed player-A direct,"Returning >=365 days, no debut",198,148,0.217356426828,0.626088036529,0.651515151515,0.106118797523,0.190057721682,0.55163079342,0.69696969697,-0.0272987051464,-0.0744572431094,-0.0454545454545,-9.37336832527e-05,4.52040910434e-05,-0.048548852036,-0.00787792120669,-0.1319076509,-0.0239201084136,2000
Glicko_C0,Glicko C0,symmetric_diagnostic,Symmetric diagnostic,"Returning >=365 days, no debut",198,148,0.21713709074,0.625174995862,0.651515151515,0.11829217119,0.190057721682,0.55163079342,0.69696969697,-0.0270793690586,-0.0735442024415,-0.0454545454545,-0.000313069771106,-0.00086783657681,-0.0485305008653,-0.00581385213016,-0.1316773056,-0.0185838655001,2000
Glicko_C0,Glicko C0,existing_saved_orientation,Existing saved-winner orientation,Both active and no debut,11036,626,0.194119961164,0.567945221066,0.696538600942,0.0274309044997,0.189768721077,0.555903925022,0.705509242479,-0.0043512400876,-0.012041296044,-0.00897064153679,0,0,-0.00669490066141,-0.00190768907773,-0.0177422771909,-0.00607375464029,2000
Glicko_C0,Glicko C0,fixed_player_a_direct,Fixed player-A direct,Both active and no debut,11036,626,0.19404393446,0.567755679277,0.696538600942,0.028505669951,0.189768721077,0.555903925022,0.705509242479,-0.00427521338327,-0.0118517542553,-0.00897064153679,-7.60267043303e-05,-0.000189541788699,-0.00668401722912,-0.00184453699273,-0.0176502855233,-0.00615350338066,2000
Glicko_C0,Glicko C0,symmetric_diagnostic,Symmetric diagnostic,Both active and no debut,11036,626,0.194069200642,0.567816080275,0.696538600942,0.0289704661015,0.189768721077,0.555903925022,0.705509242479,-0.0043004795652,-0.0119121552529,-0.00897064153679,-5.07605224006e-05,-0.000129140791051,-0.00664199693219,-0.0018662819595,-0.0175428359787,-0.00617365462626,2000
Glicko_C0,Glicko C0,existing_saved_orientation,Existing saved-winner orientation,No-debut high RD quartile,2827,426,0.196520238517,0.572580954957,0.690838344535,0.0467122115665,0.187726641434,0.547254289472,0.70074283693,-0.0087935970836,-0.0253266654855,-0.00990449239476,0,0,-0.0153820054851,-0.00207311600768,-0.0413598852292,-0.00861332781212,2000
Glicko_C0,Glicko C0,fixed_player_a_direct,Fixed player-A direct,No-debut high RD quartile,2827,426,0.196280923863,0.572089438652,0.690838344535,0.0465583455869,0.187726641434,0.547254289472,0.70074283693,-0.00855428242904,-0.0248351491805,-0.00990449239476,-0.000239314654561,-0.000491516305018,-0.0151574823058,-0.00190838061395,-0.0410542225372,-0.00847350358672,2000
Glicko_C0,Glicko C0,symmetric_diagnostic,Symmetric diagnostic,No-debut high RD quartile,2827,426,0.19639146332,0.572373436494,0.690838344535,0.0498204192343,0.187726641434,0.547254289472,0.70074283693,-0.00866482188659,-0.0251191470226,-0.00990449239476,-0.000128775197007,-0.000207518462918,-0.0155972086586,-0.00170391533246,-0.04183091568,-0.00798145044888,2000
