year,entry_cohort,evidence_status,n_first_appearances,n_unique_players,n_unique_matches,n_both_new_matches,mean_current_probability,mean_direct_probability,empirical_win_rate,current_prediction_bias,direct_prediction_bias,current_brier,direct_brier,current_log_loss,direct_log_loss,mean_opponent_rating,median_opponent_rating,mean_initial_minus_opponent_rating,median_initial_minus_opponent_rating,mean_contemporaneous_established_rating,median_contemporaneous_established_rating,mean_initial_minus_contemporaneous_median,median_initial_minus_contemporaneous_median,mean_active_established_365d_median,mean_initial_minus_active_established_365d_median,mean_probability_difference_direct_minus_current,mean_contemporaneous_pool_size,share_contemporaneous_scale_available,share_active_scale_available
1995,post_burn_in_recorded_entry,in-sample descriptive mechanism evidence,157,157,148,9,0.528368852733934,0.5348093363348696,0.3248407643312102,0.2035280884027238,0.20996857200365943,0.2349668826804971,0.2449132647202599,0.6687671496492653,0.7110934967171871,1467.6356287250715,1500.0,32.36437127492872,0.0,1388.6389595392789,1373.2577687691041,128.0006500227095,126.74223123089587,1436.5673814064535,63.43261859354655,0.006440483600935503,1510.9426751592357,1.0,1.0
1996,post_burn_in_recorded_entry,in-sample descriptive mechanism evidence,126,126,115,11,0.5278455595973475,0.5343468598890112,0.29365079365079366,0.2341947659465538,0.24069606623821754,0.27178817292884466,0.2891486795267839,0.7471894976492203,0.8034242172083397,1480.0857332730475,1487.463821305736,19.914266726952576,12.536178694263981,1382.8465731606086,1360.4507512448492,138.7791114150018,139.54924875515076,1414.5241142912844,85.47588570871518,0.006501300291663593,1652.4126984126983,1.0,1.0
1997,post_burn_in_recorded_entry,in-sample descriptive mechanism evidence,141,141,135,6,0.5241521623806935,0.5286047213992005,0.24822695035460993,0.27592521202608356,0.2803777710445905,0.24905176994373687,0.2598342169477775,0.6982067429055264,0.7345470631800682,1475.1980080988467,1471.0590481883833,24.801991901153386,28.940951811616742,1377.2758217313828,1353.9833692838702,146.17996871025122,146.01663071612984,1405.748292722436,94.25170727756394,0.004452559018507087,1785.9574468085107,1.0,1.0
1998,post_burn_in_recorded_entry,in-sample descriptive mechanism evidence,120,120,116,4,0.5322181258255347,0.5380526378991308,0.31666666666666665,0.2155514591588681,0.22138597123246417,0.2274697673791733,0.23866189553570502,0.6549092052217912,0.6966754008172019,1465.5986569060049,1427.8165464225003,34.401343093995,72.18345357749968,1370.7904780689682,1348.3633571809075,151.8495488387161,151.63664281909246,1401.6315477757946,98.36845222420548,0.005834512073596102,1916.4666666666667,1.0,1.0
1999,post_burn_in_recorded_entry,in-sample descriptive mechanism evidence,134,134,128,6,0.539985103492938,0.5463845865043861,0.2835820895522388,0.25640301394069925,0.26280249695214736,0.238714955838544,0.24614304595223005,0.6792584585662408,0.7068362123323384,1454.6132333187772,1488.12873694161,45.38676668122266,11.871263058390127,1365.3878429303477,1342.4502785735058,157.61569905629602,157.54972142649433,1395.062662901276,104.93733709872403,0.0063994830114482235,2043.455223880597,1.0,1.0
2000,post_burn_in_recorded_entry,in-sample descriptive mechanism evidence,103,103,97,6,0.5831396582834376,0.5975272694825069,0.3592233009708738,0.22391635731256382,0.2383039685116331,0.23909477275422367,0.24491796145639896,0.6795094110638975,0.7057727049731365,1397.8332584716068,1388.7890535712281,102.16674152839302,111.21094642877188,1359.7467905118551,1334.9010857908397,165.35445330392113,165.09891420916028,1388.3932530163602,111.60674698363977,0.01438761119906932,2161.9417475728155,1.0,1.0
2001,post_burn_in_recorded_entry,in-sample descriptive mechanism evidence,160,160,152,8,0.5595942897252579,0.5707245592602561,0.275,0.2845942897252579,0.2957245592602561,0.26544249763156014,0.2819935754714228,0.7415994691124933,0.8082545517739333,1425.5555648307115,1457.5340203327305,74.44443516928857,42.46597966726938,1355.2601477978717,1330.2407751990822,170.32452899009576,169.75922480091776,1388.0745765129784,111.92542348702163,0.011130269534998181,2293.45,1.0,1.0
2002,post_burn_in_recorded_entry,in-sample descriptive mechanism evidence,179,179,171,8,0.5829960454801525,0.5991301619337819,0.35195530726256985,0.23104073821758264,0.24717485467121203,0.2578627186256182,0.27580269225246884,0.7227384598772794,0.7935366290645799,1396.3697092974357,1385.6110723164115,103.63029070256432,114.38892768358846,1347.3260331430756,1323.7266964419377,175.9350838209863,176.27330355806225,1370.8327669224207,129.16723307757948,0.01613411645362931,2462.95530726257,1.0,1.0
2003,post_burn_in_recorded_entry,in-sample descriptive mechanism evidence,153,153,144,9,0.5803314028104964,0.5978973029471881,0.3137254901960784,0.266605912614418,0.2841718127511097,0.2758717481451437,0.29286546236242217,0.7700844480139162,0.8451256583183667,1397.5283761430342,1442.2178824535652,102.47162385696568,57.78211754643485,1341.627776385612,1319.8057402382838,182.10097758110288,180.19425976171624,1364.7870873178338,135.21291268216626,0.017565900136691594,2628.9411764705883,1.0,1.0
2004,post_burn_in_recorded_entry,in-sample descriptive mechanism evidence,173,173,159,14,0.5930799450960245,0.6126500144032988,0.3468208092485549,0.24625913584746956,0.2658292051547439,0.2626347996169285,0.2791038277094569,0.73500061044266,0.7977507862504823,1382.5019629593378,1414.5753454714056,117.49803704066235,85.42465452859437,1336.9258808570587,1311.8856732780037,188.6659684863849,188.11432672199635,1364.1503615369982,135.8496384630018,0.01957006930727418,2791.9190751445085,1.0,1.0
